chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr14	37049453	37049514	2/5/2/5	15/47	0.24	0/25	0.00	6.86e-03	4.00e-02	brown1
chr14	88651672	88652091	3/10/4/11	178/11	0.94	32/16	0.67	8.43e-08	7.50e-04	brown1
chr15	20738553	20738772	5/5/5/5	95/22	0.81	128/7	0.95	7.29e-04	3.39e-04	brown1
chr16	68394734	68394825	4/5/4/5	92/6	0.94	43/13	0.77	1.92e-03	4.69e-02	brown1
chr16	86547535	86547563	1/5/1/5	6/78	0.07	7/10	0.41	1.33e-04	2.10e-03	brown1
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	brown1
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	brown1
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	brown1
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	brown1
chr17	39642475	39642907	1/6/2/7	76/2	0.97	18/5	0.78	1.46e-03	1.04e-02	brown1
chr18	5145458	5145596	1/5/1/5	85/2	0.98	8/10	0.44	1.02e-10	8.85e-05	brown1
chr19	18889003	18889260	1/3/3/5	31/14	0.69	17/52	0.25	2.90e-06	3.05e-02	brown1
chr22	17660575	17660679	4/5/4/5	109/3	0.97	34/15	0.69	2.27e-07	2.17e-07	brown1
chr22	17660575	17660679	4/5/4/5	109/3	0.97	34/15	0.69	2.27e-07	2.17e-07	brown1
chr22	43465746	43466033	0/4/1/5	74/0	1.00	12/5	0.71	1.59e-06	1.62e-12	brown1
