chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr3	195453126	195453405	0/3/3/6	17/27	0.39	30/8	0.79	2.33e-04	1.22e-03	magenta
chr5	140249069	140249139	7/8/7/8	14/121	0.10	39/62	0.39	2.68e-07	4.11e-03	magenta
chr5	140249069	140249139	7/8/7/8	14/121	0.10	39/62	0.39	2.68e-07	4.11e-03	magenta
chr5	140735246	140735359	3/5/3/5	55/73	0.43	7/45	0.13	1.59e-04	3.12e-02	magenta
chr5	140735246	140735359	3/5/3/5	55/73	0.43	7/45	0.13	1.59e-04	3.12e-02	magenta
chr5	140740725	140740814	5/5/5/5	76/48	0.61	27/51	0.35	2.22e-04	9.94e-04	magenta
chr5	140740725	140740814	5/5/5/5	76/48	0.61	27/51	0.35	2.22e-04	9.94e-04	magenta
chr5	140810519	140810569	3/3/6/6	1/30	0.03	35/75	0.32	1.26e-03	1.33e-02	magenta
chr5	140810519	140810569	3/3/6/6	1/30	0.03	35/75	0.32	1.26e-03	1.33e-02	magenta
chr6	10529935	10530035	6/6/6/6	37/100	0.27	61/69	0.47	7.39e-04	1.55e-02	magenta
chr6	25727239	25727363	0/4/1/5	91/2	0.98	6/4	0.60	1.20e-06	5.14e-04	magenta
chr6	29408118	29408313	0/1/4/5	6/6	0.50	50/8	0.86	4.31e-03	4.43e-02	magenta
chr6	151670473	151670585	2/5/2/5	83/16	0.84	13/9	0.59	9.51e-03	5.96e-03	magenta
chr6	161045144	161045266	5/5/5/5	192/27	0.88	106/32	0.77	7.14e-03	2.52e-02	magenta
chr7	100643876	100644089	5/5/5/5	334/57	0.85	175/68	0.72	3.71e-05	9.55e-03	magenta
chr7	100647250	100647366	2/5/2/5	180/13	0.93	27/7	0.79	8.60e-03	4.44e-02	magenta
chr7	134632499	134632548	5/5/5/5	95/21	0.82	83/5	0.94	8.42e-03	2.68e-02	magenta
chr7	150174585	150174659	5/5/5/5	141/2	0.99	62/9	0.87	4.35e-04	1.47e-03	magenta
chr8	10467164	10467285	2/2/5/5	6/14	0.30	48/8	0.86	2.41e-06	4.92e-03	magenta
chr8	52384788	52384981	1/5/1/5	88/7	0.93	24/12	0.67	1.65e-04	8.15e-03	magenta
chr8	77617450	77617507	2/5/2/5	80/8	0.91	11/11	0.50	5.62e-06	7.12e-03	magenta
chr8	86574405	86574621	1/5/1/5	71/3	0.96	8/3	0.73	5.03e-03	1.16e-02	magenta
chr8	97156922	97156997	3/4/5/6	0/49	0.00	11/43	0.20	8.29e-04	2.13e-02	magenta
chr8	125463641	125463700	4/6/4/6	14/74	0.16	0/65	0.00	7.41e-04	5.89e-04	magenta
chr9	32541935	32542136	5/6/5/6	200/12	0.94	59/15	0.80	2.15e-04	2.74e-02	magenta
chr9	78803507	78803578	1/5/1/5	93/1	0.99	6/6	0.50	1.29e-10	2.82e-05	magenta
chr9	130207299	130207443	0/5/2/7	68/0	1.00	26/5	0.84	6.77e-04	3.11e-06	magenta
chr9	140036503	140036592	1/6/1/6	103/7	0.94	8/7	0.53	3.43e-06	2.38e-03	magenta
chr10	13534679	13534910	1/4/3/6	62/1	0.98	44/13	0.77	2.99e-04	1.56e-02	magenta
chr10	13708110	13708258	1/5/1/5	53/4	0.93	7/4	0.64	5.68e-03	9.28e-03	magenta
chr10	127451981	127452032	4/5/4/5	102/2	0.98	65/10	0.87	2.60e-03	2.04e-02	magenta
chr10	135102412	135102475	1/6/1/6	109/6	0.95	8/5	0.62	5.04e-05	9.71e-05	magenta
chr11	6291536	6291657	1/6/1/6	96/2	0.98	6/8	0.43	1.35e-11	6.05e-06	magenta
chr11	19077748	19077805	1/5/1/5	134/11	0.92	2/8	0.20	1.44e-11	1.17e-04	magenta
chr11	46564148	46564499	0/4/1/5	55/0	1.00	14/2	0.88	7.82e-03	1.62e-12	magenta
chr11	57076923	57077357	1/9/1/9	190/6	0.97	5/6	0.45	1.16e-12	7.90e-07	magenta
chr11	119155758	119156022	2/7/2/7	113/4	0.97	23/5	0.82	4.45e-03	3.31e-03	magenta
chr11	129800918	129800970	0/4/1/5	0/42	0.00	5/14	0.26	5.21e-04	1.62e-12	magenta
chr12	6730359	6730599	0/3/2/5	36/2	0.95	12/9	0.57	3.85e-04	1.17e-02	magenta
chr12	43944882	43944968	0/6/1/7	5/97	0.05	12/3	0.80	1.30e-14	2.69e-05	magenta
chr12	57872958	57873026	2/5/2/5	16/46	0.26	18/9	0.67	2.65e-04	3.37e-03	magenta
chr12	109095012	109095095	3/6/3/6	64/41	0.61	45/2	0.96	1.08e-05	1.12e-02	magenta
chr12	113901324	113901477	0/4/1/5	0/42	0.00	2/9	0.18	4.85e-03	1.62e-12	magenta
chr12	123201016	123201097	1/5/1/5	120/8	0.94	8/6	0.57	1.29e-05	3.18e-02	magenta
chr14	21863137	21863209	2/5/2/5	139/2	0.99	28/7	0.80	7.94e-06	2.67e-02	magenta
chr16	4934053	4934119	1/1/5/5	10/2	0.83	51/0	1.00	3.05e-03	0.00e+00	magenta
chr16	4935792	4935936	2/6/2/6	134/1	0.99	23/3	0.88	1.20e-03	2.27e-03	magenta
chr16	27506706	27506798	3/5/3/5	79/0	1.00	33/4	0.89	2.94e-03	4.85e-02	magenta
chr16	69148573	69148694	3/5/3/5	59/23	0.72	13/26	0.33	5.25e-05	2.69e-02	magenta
chr16	70954765	70954809	0/4/1/5	42/4	0.91	6/5	0.55	2.67e-03	8.38e-03	magenta
chr16	72827230	72827530	3/4/5/6	90/2	0.98	66/20	0.77	1.95e-05	1.30e-02	magenta
chr16	74908315	74908542	1/5/1/5	58/13	0.82	3/13	0.19	6.75e-07	2.56e-02	magenta
chr17	1631810	1631970	2/5/2/5	44/16	0.73	21/0	1.00	8.25e-03	2.69e-02	magenta
chr17	1631810	1631970	2/5/2/5	44/16	0.73	21/0	1.00	8.25e-03	2.69e-02	magenta
chr17	7369845	7369987	3/5/3/5	64/34	0.65	14/27	0.34	7.36e-04	1.31e-02	magenta
chr17	20355170	20355310	3/5/3/5	89/2	0.98	31/5	0.86	9.27e-03	1.36e-02	magenta
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	magenta
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	magenta
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	magenta
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	magenta
chr17	34257111	34257313	2/2/5/5	1/39	0.03	30/58	0.34	1.10e-04	4.51e-02	magenta
chr17	40714862	40715048	2/6/2/6	5/72	0.06	20/4	0.83	2.62e-14	7.74e-04	magenta
chr17	40714862	40715048	2/6/2/6	5/72	0.06	20/4	0.83	2.62e-14	7.74e-04	magenta
chr17	43333148	43333266	1/5/1/5	65/0	1.00	8/3	0.73	1.74e-05	0.00e+00	magenta
chr17	62079106	62079310	0/2/3/5	21/2	0.91	18/21	0.46	3.78e-04	7.79e-03	magenta
chr17	79575778	79575869	0/4/1/5	68/0	1.00	11/2	0.85	1.06e-03	1.62e-12	magenta
chr17	80789488	80789560	1/4/2/5	52/0	1.00	19/4	0.83	2.00e-03	1.50e-06	magenta
chr18	3457695	3457897	0/4/1/5	51/0	1.00	9/11	0.45	8.35e-09	1.62e-12	magenta
chr18	7012054	7012103	1/4/2/5	40/1	0.98	18/9	0.67	4.32e-04	8.04e-04	magenta
chr18	14748560	14748696	2/5/2/5	40/28	0.59	5/16	0.24	5.03e-03	2.19e-02	magenta
chr18	19757022	19757337	0/1/4/5	13/1	0.93	0/49	0.00	3.48e-14	1.62e-12	magenta
chr18	31324490	31324765	3/5/3/5	91/6	0.94	31/12	0.72	3.97e-04	4.19e-03	magenta
chr18	44548801	44548840	1/5/1/5	92/4	0.96	7/3	0.70	1.75e-03	1.96e-03	magenta
chr18	44548801	44548840	1/5/1/5	92/4	0.96	7/3	0.70	1.75e-03	1.96e-03	magenta
chr18	44549347	44549452	2/2/5/5	28/16	0.64	58/2	0.97	1.09e-05	1.07e-04	magenta
chr18	44549347	44549452	2/2/5/5	28/16	0.64	58/2	0.97	1.09e-05	1.07e-04	magenta
chr19	7267670	7267733	5/5/5/5	96/15	0.86	64/0	1.00	2.10e-03	3.74e-02	magenta
chr19	36336300	36336327	6/6/6/6	9/151	0.06	18/90	0.17	3.22e-03	5.91e-03	magenta
chr19	49001328	49001497	5/6/5/6	121/11	0.92	39/21	0.65	4.31e-06	9.91e-04	magenta
chr19	49001508	49001678	3/6/3/6	89/33	0.73	17/21	0.45	1.32e-03	6.39e-04	magenta
chr20	4850671	4850940	1/6/1/6	78/5	0.94	2/12	0.14	4.02e-13	1.76e-05	magenta
chr20	10030288	10030446	1/5/1/5	97/4	0.96	11/4	0.73	1.20e-03	7.60e-03	magenta
chr20	10030540	10030572	5/5/5/5	74/9	0.89	60/0	1.00	8.41e-03	2.71e-02	magenta
chr20	37356217	37356251	5/5/6/6	14/43	0.25	4/92	0.04	1.53e-04	3.58e-03	magenta
chr20	52193045	52193232	1/5/1/5	89/3	0.97	13/5	0.72	2.49e-04	3.50e-03	magenta
chr20	62152666	62152759	0/1/4/5	6/5	0.55	0/56	0.00	6.95e-09	1.62e-12	magenta
chr21	43547809	43547923	1/7/1/7	110/15	0.88	3/7	0.30	1.77e-06	5.15e-03	magenta
chr22	39418982	39419223	0/4/2/6	65/2	0.97	28/7	0.80	4.02e-03	3.13e-03	magenta
chr22	43465746	43466033	0/4/1/5	74/0	1.00	12/5	0.71	1.59e-06	1.62e-12	magenta
