chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	228748311	228748374	6/8/6/8	53/109	0.33	8/65	0.11	4.31e-04	5.81e-04	cyan2
chr1	228752390	228752557	13/13/13/13	420/183	0.70	111/115	0.49	4.08e-08	5.84e-07	cyan2
chr1	228752561	228752632	5/6/5/6	201/84	0.71	39/36	0.52	2.46e-03	5.55e-03	cyan2
chr1	228754810	228754873	5/5/5/5	128/43	0.75	67/45	0.60	7.55e-03	2.99e-02	cyan2
chr1	228754890	228754936	5/5/5/5	95/124	0.43	24/77	0.24	7.39e-04	6.03e-03	cyan2
chr1	228756883	228756964	6/8/6/8	198/83	0.70	42/43	0.49	3.45e-04	4.40e-04	cyan2
chr1	228759308	228759440	8/8/8/8	160/168	0.49	47/140	0.25	1.41e-07	3.41e-03	cyan2
chr1	228765828	228765882	5/6/5/6	185/85	0.69	41/46	0.47	3.18e-04	6.85e-04	cyan2
chr1	228765907	228766031	9/9/9/9	322/92	0.78	105/69	0.60	1.51e-05	2.86e-04	cyan2
chr1	228766048	228766094	5/5/5/5	98/138	0.42	34/97	0.26	2.90e-03	2.80e-02	cyan2
chr1	228768209	228768272	5/5/5/5	142/36	0.80	83/48	0.63	1.35e-03	3.19e-02	cyan2
chr1	228772662	228772698	5/5/5/5	92/39	0.70	65/7	0.90	1.10e-03	2.44e-03	cyan2
chr1	228774854	228774978	6/9/6/9	281/87	0.76	32/44	0.42	2.51e-09	9.24e-05	cyan2
chr1	228776248	228776277	5/5/5/5	75/71	0.51	32/64	0.33	5.71e-03	9.46e-03	cyan2
chr1	228781557	228781622	6/6/6/6	182/53	0.77	95/65	0.59	1.17e-04	1.91e-04	cyan2
chr1	228781642	228781728	6/6/6/6	173/117	0.60	67/99	0.40	7.18e-05	1.25e-02	cyan2
chr1	228783956	228784240	3/7/3/7	4/116	0.03	19/36	0.35	1.40e-08	1.13e-04	cyan2
chr1	231664533	231664591	1/5/1/5	0/110	0.00	4/10	0.29	1.21e-08	0.00e+00	cyan2
chr2	583375	583507	2/5/2/5	98/10	0.91	10/21	0.32	5.39e-12	6.92e-04	cyan2
chr2	8724087	8724247	6/9/6/9	17/132	0.11	26/61	0.30	3.89e-04	5.70e-05	cyan2
chr2	44395459	44395548	0/4/1/5	0/52	0.00	2/14	0.12	9.66e-03	1.62e-12	cyan2
chr2	45029226	45029357	0/4/1/5	4/45	0.08	4/6	0.40	7.36e-03	2.69e-02	cyan2
chr2	45397802	45398036	2/2/6/6	26/8	0.76	21/59	0.26	6.25e-07	1.38e-03	cyan2
chr2	47799120	47799353	0/1/4/5	3/8	0.27	1/49	0.02	2.17e-03	6.20e-03	cyan2
chr2	71131667	71132030	0/3/6/9	12/21	0.36	2/71	0.03	2.20e-06	6.45e-04	cyan2
chr2	87303970	87304015	1/1/5/5	4/9	0.31	0/82	0.00	2.86e-07	0.00e+00	cyan2
chr2	90414017	90414108	9/11/9/11	51/175	0.23	3/112	0.03	1.82e-06	5.16e-05	cyan2
chr2	90414121	90414184	6/6/6/6	110/91	0.55	44/85	0.34	2.49e-04	3.73e-03	cyan2
chr2	91777866	91777891	4/6/4/6	40/126	0.24	5/62	0.07	3.60e-03	4.34e-04	cyan2
chr2	110370972	110371030	1/1/5/5	3/9	0.25	0/99	0.00	4.57e-07	0.00e+00	cyan2
chr2	127729760	127730074	0/1/4/5	4/9	0.31	0/72	0.00	1.42e-06	1.62e-12	cyan2
chr2	171628061	171628234	4/5/4/5	9/111	0.08	23/51	0.31	1.72e-05	4.70e-02	cyan2
chr2	171830707	171830880	5/6/5/6	90/19	0.83	53/36	0.60	3.22e-04	1.42e-02	cyan2
chr2	172951290	172951355	0/1/6/7	6/8	0.43	3/69	0.04	1.51e-05	1.83e-03	cyan2
chr2	172965816	172966128	0/4/1/5	5/67	0.07	8/7	0.53	4.55e-06	2.72e-03	cyan2
chr2	176972068	176972089	1/1/5/5	4/10	0.29	4/66	0.06	7.82e-03	1.50e-03	cyan2
chr2	189157174	189157315	1/10/1/10	5/118	0.04	4/6	0.40	1.36e-05	2.02e-04	cyan2
chr2	198570849	198571034	0/4/1/5	0/58	0.00	4/7	0.36	2.23e-06	1.62e-12	cyan2
chr2	208890356	208890548	0/4/1/5	1/72	0.01	3/14	0.18	3.36e-03	1.17e-02	cyan2
chr2	237088073	237088112	4/5/4/5	16/96	0.14	0/47	0.00	6.29e-03	3.58e-02	cyan2
chr3	75718988	75719027	5/5/5/5	61/156	0.28	52/64	0.45	2.14e-03	6.24e-03	cyan2
chr3	75719035	75719098	9/9/9/9	95/146	0.39	105/65	0.62	8.06e-06	1.80e-06	cyan2
chr3	75721295	75721328	4/5/4/5	16/142	0.10	20/53	0.27	7.66e-04	1.38e-02	cyan2
chr3	119298982	119299221	5/7/6/8	30/96	0.24	4/87	0.04	1.03e-04	5.51e-03	cyan2
chr3	149374968	149375058	3/6/3/6	7/118	0.06	9/23	0.28	1.71e-04	8.73e-03	cyan2
chr4	2539289	2539420	0/1/4/5	4/16	0.20	0/57	0.00	5.25e-04	1.62e-12	cyan2
chr4	3374739	3374870	4/9/4/9	49/101	0.33	34/7	0.83	8.74e-09	2.81e-05	cyan2
chr4	8626806	8626949	3/8/3/8	1/112	0.01	7/31	0.18	2.98e-05	1.71e-05	cyan2
chr4	8632666	8632761	3/5/3/5	74/21	0.78	47/2	0.96	5.15e-03	2.82e-02	cyan2
chr4	13531078	13531163	2/7/2/7	12/107	0.10	7/15	0.32	6.09e-03	1.90e-02	cyan2
chr4	83821700	83821792	1/1/5/5	4/8	0.33	0/59	0.00	4.99e-06	0.00e+00	cyan2
chr4	171011502	171011618	3/5/3/5	16/76	0.17	0/40	0.00	4.90e-03	5.18e-03	cyan2
chr4	190936015	190936100	0/2/3/5	6/16	0.27	1/31	0.03	9.44e-03	1.50e-02	cyan2
chr5	3597771	3597872	6/6/6/6	16/90	0.15	33/66	0.33	2.22e-03	1.23e-02	cyan2
chr5	43484258	43484287	1/1/5/5	2/10	0.17	0/75	0.00	3.48e-04	0.00e+00	cyan2
chr5	68628725	68628916	0/4/1/5	0/80	0.00	11/8	0.58	5.26e-13	1.62e-12	cyan2
chr5	72594735	72594851	2/8/2/8	2/191	0.01	5/25	0.17	4.93e-06	5.53e-05	cyan2
chr5	122435291	122435314	5/5/5/5	0/51	0.00	8/49	0.14	5.43e-03	2.17e-03	cyan2
chr5	127873613	127873813	1/12/1/12	3/366	0.01	2/9	0.18	6.31e-07	6.63e-09	cyan2
chr5	131132434	131132498	0/5/1/6	0/88	0.00	6/6	0.50	7.83e-12	0.00e+00	cyan2
chr5	137668011	137668198	0/4/1/5	0/81	0.00	6/13	0.32	1.82e-07	1.62e-12	cyan2
chr5	140249069	140249139	7/8/7/8	14/121	0.10	39/62	0.39	2.68e-07	4.11e-03	cyan2
chr5	140810519	140810569	3/3/6/6	1/30	0.03	35/75	0.32	1.26e-03	1.33e-02	cyan2
chr5	150326190	150326346	4/4/6/6	23/72	0.24	5/63	0.07	4.90e-03	2.26e-03	cyan2
chr5	174158912	174158965	0/2/3/5	9/20	0.31	0/30	0.00	9.18e-04	1.73e-02	cyan2
chr6	41342494	41342565	1/6/1/6	6/83	0.07	5/9	0.36	1.10e-03	2.02e-02	cyan2
chr6	150247219	150247302	1/5/1/5	0/77	0.00	4/8	0.33	2.17e-07	0.00e+00	cyan2
chr6	167314770	167314924	0/4/1/5	40/1	0.98	3/7	0.30	1.38e-07	4.57e-04	cyan2
chr7	42277849	42278021	3/5/3/5	3/72	0.04	8/25	0.24	1.36e-03	1.31e-02	cyan2
chr7	56893504	56893768	0/4/1/5	44/1	0.98	7/3	0.70	2.22e-03	8.05e-03	cyan2
chr7	96646295	96646311	5/5/5/5	7/53	0.12	0/58	0.00	7.32e-03	2.61e-02	cyan2
chr7	130130970	130131268	0/1/8/9	7/8	0.47	2/102	0.02	8.95e-10	3.39e-05	cyan2
chr7	153583563	153583764	0/1/5/6	2/8	0.20	0/60	0.00	4.40e-04	0.00e+00	cyan2
chr8	1113595	1113751	9/9/10/10	0/115	0.00	21/128	0.14	2.71e-05	7.31e-07	cyan2
chr8	8581182	8581258	1/5/1/5	12/52	0.19	7/3	0.70	5.60e-04	1.42e-03	cyan2
chr8	10591081	10591216	6/6/6/6	28/175	0.14	1/82	0.01	1.37e-03	1.06e-02	cyan2
chr8	70982417	70982456	2/5/2/5	9/51	0.15	14/9	0.61	2.93e-05	2.59e-03	cyan2
chr8	72754070	72754118	3/5/3/5	55/5	0.92	23/13	0.64	7.36e-04	2.65e-02	cyan2
chr8	82633648	82633931	0/4/1/5	0/64	0.00	6/10	0.38	3.51e-07	1.62e-12	cyan2
chr8	86555334	86555379	5/5/5/5	110/25	0.81	70/3	0.96	3.66e-03	1.65e-03	cyan2
chr8	86574405	86574621	1/5/1/5	71/3	0.96	8/3	0.73	5.03e-03	1.16e-02	cyan2
chr8	86758266	86758398	3/5/3/5	118/12	0.91	66/20	0.77	4.51e-03	3.99e-02	cyan2
chr8	86775464	86775509	3/5/3/5	72/20	0.78	38/1	0.97	6.23e-03	3.03e-04	cyan2
chr8	86839553	86839583	2/5/2/5	104/4	0.96	20/5	0.80	3.46e-03	2.50e-02	cyan2
chr8	97156922	97156997	3/4/5/6	0/49	0.00	11/43	0.20	8.29e-04	2.13e-02	cyan2
chr9	13323219	13323447	0/1/4/5	7/3	0.70	40/1	0.98	3.65e-03	8.05e-03	cyan2
chr9	14313558	14313624	1/1/5/5	2/17	0.11	0/109	0.00	6.40e-04	0.00e+00	cyan2
chr9	34377544	34377834	4/5/5/6	18/55	0.25	2/50	0.04	1.76e-03	3.08e-02	cyan2
chr9	66456058	66456168	3/6/3/6	9/107	0.08	11/26	0.30	5.56e-04	3.46e-02	cyan2
chr9	68408923	68409028	1/7/1/7	96/98	0.49	1/14	0.07	1.36e-03	7.97e-03	cyan2
chr9	68726491	68726623	0/1/4/5	14/5	0.74	1/62	0.02	1.04e-12	1.87e-04	cyan2
chr9	70922424	70922744	1/5/1/5	9/58	0.13	8/7	0.53	5.69e-04	1.54e-02	cyan2
chr9	95056188	95056356	0/1/5/6	6/8	0.43	0/73	0.00	6.76e-09	0.00e+00	cyan2
chr9	96108905	96108934	2/5/2/5	1/97	0.01	3/17	0.15	1.64e-03	3.06e-03	cyan2
chr9	115830324	115830365	3/6/3/6	10/94	0.10	9/21	0.30	4.81e-03	1.14e-03	cyan2
chr9	116861438	116861488	2/5/2/5	56/6	0.90	15/10	0.60	9.54e-04	3.59e-02	cyan2
chr9	124988260	124988426	0/2/4/6	11/13	0.46	1/40	0.02	1.35e-05	1.56e-02	cyan2
chr10	8094463	8094511	5/5/5/5	40/85	0.32	10/58	0.15	8.80e-03	2.38e-02	cyan2
chr10	22765520	22765645	0/5/1/6	0/78	0.00	6/6	0.50	1.02e-10	0.00e+00	cyan2
chr10	23463075	23463229	0/4/1/5	2/42	0.05	8/2	0.80	2.94e-08	5.08e-04	cyan2
chr10	47083392	47083461	4/6/4/6	2/81	0.02	15/57	0.21	2.51e-04	1.70e-02	cyan2
chr10	102504039	102504137	1/5/1/5	0/66	0.00	2/8	0.20	2.31e-04	0.00e+00	cyan2
chr10	112836336	112836407	1/5/1/5	0/147	0.00	2/8	0.20	4.84e-08	0.00e+00	cyan2
chr10	134778750	134778855	8/8/8/8	152/69	0.69	52/60	0.46	7.64e-05	9.37e-06	cyan2
chr10	135383493	135383690	3/6/3/6	100/9	0.92	22/11	0.67	2.85e-04	3.30e-04	cyan2
chr10	135436218	135436359	2/10/2/10	19/122	0.13	15/11	0.58	2.68e-07	1.38e-03	cyan2
chr11	331109	331317	0/1/4/5	9/1	0.90	16/35	0.31	5.67e-04	2.73e-03	cyan2
chr11	2890419	2890479	4/6/4/6	47/65	0.42	4/65	0.06	1.49e-07	7.57e-03	cyan2
chr11	6291536	6291657	1/6/1/6	96/2	0.98	6/8	0.43	1.35e-11	6.05e-06	cyan2
chr11	46615578	46615709	0/4/1/5	0/59	0.00	2/11	0.15	2.25e-03	1.62e-12	cyan2
chr11	66496148	66496252	1/5/1/5	7/82	0.08	4/6	0.40	2.17e-03	1.33e-02	cyan2
chr11	118480763	118480827	1/6/1/6	5/71	0.07	5/6	0.45	1.58e-04	7.53e-04	cyan2
chr12	43944882	43944968	0/6/1/7	5/97	0.05	12/3	0.80	1.30e-14	2.69e-05	cyan2
chr12	58165658	58165765	1/5/1/5	0/85	0.00	2/12	0.14	4.31e-04	0.00e+00	cyan2
chr12	113901324	113901477	0/4/1/5	0/42	0.00	2/9	0.18	4.85e-03	1.62e-12	cyan2
chr12	120032432	120032455	1/5/1/5	3/92	0.03	3/7	0.30	5.04e-04	4.02e-03	cyan2
chr13	28492495	28492638	2/3/4/5	14/20	0.41	5/40	0.11	1.96e-03	1.61e-02	cyan2
chr13	28551851	28551936	5/5/5/5	0/66	0.00	11/87	0.11	4.83e-03	2.59e-02	cyan2
chr13	110961116	110961404	0/1/4/5	4/11	0.27	0/64	0.00	2.24e-05	1.62e-12	cyan2
chr13	112723380	112723450	1/5/1/5	4/78	0.05	5/9	0.36	2.54e-04	4.94e-02	cyan2
chr14	35591537	35591779	0/5/1/6	0/75	0.00	2/11	0.15	5.90e-04	0.00e+00	cyan2
chr14	37049453	37049514	2/5/2/5	15/47	0.24	0/25	0.00	6.86e-03	4.00e-02	cyan2
chr14	60043571	60043636	1/5/1/5	0/82	0.00	2/13	0.13	8.34e-04	0.00e+00	cyan2
chr14	74318762	74318942	1/1/6/6	2/11	0.15	1/92	0.01	3.57e-03	2.33e-03	cyan2
chr14	105603389	105603493	2/5/2/5	66/1	0.99	14/6	0.70	3.90e-05	2.53e-02	cyan2
chr15	20981451	20981478	5/5/5/5	82/86	0.49	64/29	0.69	1.82e-03	1.80e-02	cyan2
chr15	20991005	20991352	1/9/1/9	127/11	0.92	7/6	0.54	3.13e-05	1.52e-03	cyan2
chr15	21019949	21020280	0/8/1/9	110/16	0.87	0/10	0.00	1.40e-11	1.16e-06	cyan2
chr15	90358451	90358545	6/8/6/8	11/162	0.06	23/63	0.27	4.76e-06	5.02e-03	cyan2
chr15	102501729	102501749	1/5/1/5	0/81	0.00	2/11	0.15	3.59e-04	0.00e+00	cyan2
chr16	4934053	4934119	1/1/5/5	10/2	0.83	51/0	1.00	3.05e-03	0.00e+00	cyan2
chr16	54971747	54971786	4/4/5/5	1/77	0.01	9/52	0.15	2.29e-03	2.21e-02	cyan2
chr16	71459826	71460069	0/1/5/6	5/10	0.33	0/55	0.00	8.86e-06	0.00e+00	cyan2
chr17	40714862	40715048	2/6/2/6	5/72	0.06	20/4	0.83	2.62e-14	7.74e-04	cyan2
chr17	42734442	42734575	0/1/5/6	8/8	0.50	7/59	0.11	2.56e-04	1.09e-02	cyan2
chr17	73452548	73452605	1/1/5/5	2/14	0.12	0/76	0.00	1.83e-03	0.00e+00	cyan2
chr17	74553221	74553279	1/5/1/5	4/79	0.05	3/7	0.30	4.35e-03	1.41e-02	cyan2
chr17	80251616	80251727	1/1/6/6	14/0	1.00	48/35	0.58	2.37e-03	5.44e-03	cyan2
chr18	19757022	19757337	0/1/4/5	13/1	0.93	0/49	0.00	3.48e-14	1.62e-12	cyan2
chr18	44549347	44549452	2/2/5/5	28/16	0.64	58/2	0.97	1.09e-05	1.07e-04	cyan2
chr18	55106088	55106202	0/1/4/5	2/11	0.15	0/54	0.00	3.43e-03	1.62e-12	cyan2
chr18	61604243	61604358	1/5/1/5	29/97	0.23	7/4	0.64	3.33e-03	6.00e-03	cyan2
chr18	76752008	76752039	3/5/3/5	65/5	0.93	29/10	0.74	7.20e-03	1.79e-02	cyan2
chr19	2613950	2614032	0/1/5/6	2/9	0.18	0/60	0.00	8.07e-04	0.00e+00	cyan2
chr19	7267670	7267733	5/5/5/5	96/15	0.86	64/0	1.00	2.10e-03	3.74e-02	cyan2
chr19	9879735	9879855	1/5/1/5	4/79	0.05	3/8	0.27	7.69e-03	2.66e-02	cyan2
chr19	13813316	13813379	8/8/8/8	28/134	0.17	1/110	0.01	1.59e-05	6.32e-06	cyan2
chr19	14583965	14584404	0/3/3/6	14/26	0.35	0/34	0.00	1.28e-04	7.79e-03	cyan2
chr19	35740328	35740647	1/5/3/7	37/16	0.70	1/32	0.03	1.32e-09	3.49e-03	cyan2
chr19	36336300	36336327	6/6/6/6	9/151	0.06	18/90	0.17	3.22e-03	5.91e-03	cyan2
chr19	37764249	37764352	4/9/4/9	210/5	0.98	32/14	0.70	2.74e-11	1.98e-08	cyan2
chr19	37776942	37776994	5/5/5/5	136/4	0.97	53/11	0.83	2.74e-04	1.03e-02	cyan2
chr19	44809193	44809363	1/5/1/5	1/93	0.01	4/18	0.18	3.72e-04	2.61e-03	cyan2
chr19	52996389	52996453	1/2/6/7	13/7	0.65	4/81	0.05	4.52e-11	4.89e-05	cyan2
chr20	3064001	3064223	0/1/4/5	2/8	0.20	0/57	0.00	6.08e-04	1.62e-12	cyan2
chr20	37356217	37356251	5/5/6/6	14/43	0.25	4/92	0.04	1.53e-04	3.58e-03	cyan2
chr20	56247298	56247344	7/7/7/7	77/121	0.39	5/126	0.04	6.07e-13	1.43e-06	cyan2
chr20	62152666	62152759	0/1/4/5	6/5	0.55	0/56	0.00	6.95e-09	1.62e-12	cyan2
chr21	9825490	9825575	10/10/10/10	802/3075	0.21	245/2014	0.11	4.94e-23	5.06e-05	cyan2
chr21	9927158	9927228	6/6/7/7	80/6	0.93	76/43	0.64	1.36e-06	8.51e-03	cyan2
chr21	9968558	9968619	5/6/7/8	30/60	0.33	76/46	0.62	3.07e-05	2.61e-03	cyan2
chr21	11107108	11107161	5/5/5/5	188/41	0.82	86/46	0.65	2.89e-04	2.03e-02	cyan2
chr22	21496640	21497209	3/7/3/7	241/17	0.93	103/23	0.82	4.42e-04	1.18e-03	cyan2
chr22	50026381	50026551	0/4/1/5	4/45	0.08	6/4	0.60	6.84e-05	2.79e-02	cyan2
chrX	115002686	115002851	1/5/1/5	100/1	0.99	17/3	0.85	1.37e-03	4.33e-03	cyan2
chrX	115004025	115004083	5/5/5/5	151/10	0.94	78/17	0.82	3.28e-03	4.13e-02	cyan2
